RefNum,agerange,age,job,marital,education,balance,housing,loan,month,date,duration,deposit,lead,product,qualified ,contacted,won ,loanvalue,NPS
10023706,41-60,49,blue-collar,divorced,primary,-9,yes,no,december,12/1/2018,389,,1,unsecured ,1,1,1,3678,10
10023707,41-60,46,technician,married,secondary,349,yes,yes,january,1/1/2018,127,53.93,1,unsecured ,1,1,1,4853,10
10023708,41-60,43,entrepreneur,married,,100,yes,yes,february,2/1/2018,702,0,1,unsecured ,1,1,1,8675,10
10023709,31-40,38,admin.,married,secondary,0,no,no,march,3/1/2018,151,0,1,unsecured ,1,1,1,9764,10
10023710,41-60,43,technician,married,secondary,434,yes,yes,april,4/1/2018,117,342.16,1,unsecured ,1,1,1,2457,10
10023711,41-60,49,management,married,tertiary,3237,yes,yes,may,5/1/2018,232,272.36,1,unsecured ,1,1,1,3678,10
10023712,41-60,42,management,married,,275,no,yes,june,6/1/2018,408,0,1,unsecured ,1,1,1,9765,10
10023713,18-30,22,blue-collar,single,secondary,0,yes,no,july,7/1/2018,179,0,1,unsecured ,1,1,1,7543,10
10023714,31-40,40,management,married,tertiary,207,yes,yes,august,8/1/2018,39,91.28,1,unsecured ,1,1,1,4080,10
10023715,31-40,39,blue-collar,married,secondary,483,yes,no,september,9/1/2018,282,300.8,1,unsecured ,1,1,1,2127,10
10023716,41-60,51,services,married,secondary,2248,yes,yes,october,10/1/2018,714,283.16,1,mortgage,1,1,1,5699,10
10023717,41-60,49,admin.,married,secondary,428,yes,yes,november,11/1/2018,50,0,1,mortgage,1,1,1,3237,10
10023718,41-60,53,blue-collar,married,secondary,0,yes,yes,december,12/1/2018,181,0,1,mortgage,1,1,1,2558,10
10023719,31-40,34,services,single,secondary,0,yes,no,january,1/1/2018,142,0,1,mortgage,1,1,1,2298,10
10023720,31-40,33,technician,divorced,secondary,140,yes,no,february,2/1/2018,227,58.86,1,mortgage,1,1,1,3397,10
10023721,41-60,50,management,single,tertiary,297,yes,yes,march,3/1/2018,119,83.1,1,mortgage,1,1,1,2106,10
10023722,31-40,39,blue-collar,married,primary,279,yes,no,april,4/1/2018,361,144.74,1,mortgage,1,1,1,6895,10
10023723,41-60,59,entrepreneur,divorced,secondary,901,yes,no,may,5/1/2018,73,439.53,1,mortgage,1,1,1,7632,10
10023724,18-30,30,technician,single,secondary,2573,yes,no,june,6/1/2018,67,175.1,1,mortgage,1,1,1,9753,10
10023725,31-40,36,services,married,secondary,143,yes,no,july,7/1/2018,350,75.24,1,mortgage,1,1,1,2257,10
10023726,31-40,40,blue-collar,married,secondary,475,yes,no,august,8/1/2018,332,52.64,1,mortgage,1,1,1,12353,10
10023727,41-60,53,blue-collar,married,secondary,70,yes,yes,september,9/1/2018,611,43.07,1,mortgage,1,1,1,2356,10
10023728,31-40,34,management,single,tertiary,318,yes,no,october,10/1/2018,113,85.37,1,mortgage,1,1,1,7654,10
10023729,31-40,37,technician,married,secondary,275,yes,no,november,11/1/2018,132,130.4,1,mortgage,1,1,1,7854,10
10023730,41-60,42,management,divorced,tertiary,742,yes,yes,december,12/1/2018,58,120.8,1,auto ,1,1,1,8954,10
10023731,41-60,41,entrepreneur,married,primary,236,yes,yes,january,1/1/2018,151,22.17,1,auto ,1,1,1,3678,10
10023732,18-30,30,student,single,tertiary,25,yes,no,february,2/1/2018,89,35.36,1,auto ,1,1,1,4853,10
10023733,31-40,37,management,single,tertiary,600,yes,no,march,3/1/2018,152,,1,auto ,1,1,1,8675,10
10023734,31-40,39,admin.,divorced,secondary,-349,yes,no,april,4/1/2018,611,,1,auto ,1,1,1,9764,10
10023735,41-60,41,blue-collar,married,primary,183,yes,yes,may,5/1/2018,110,0,1,auto ,1,1,1,2457,10
10023736,31-40,40,blue-collar,married,primary,0,yes,no,june,6/1/2018,463,0,1,auto ,1,1,1,3678,10
10023737,41-60,42,management,single,tertiary,0,yes,yes,july,7/1/2018,562,0,1,auto ,1,1,1,9765,10
10023738,31-40,40,blue-collar,divorced,primary,0,yes,no,august,8/1/2018,962,0,1,auto ,1,1,1,7543,10
10023739,41-60,57,technician,married,secondary,1078,yes,yes,september,9/1/2018,10,118,1,auto ,1,1,1,4384,10
10023740,41-60,56,entrepreneur,divorced,secondary,155,no,no,october,10/1/2018,118,49.54,1,auto ,1,1,1,4080,10
10023741,31-40,37,admin.,married,secondary,190,yes,no,november,11/1/2018,92,71.07,1,auto ,1,1,1,2127,10
10023742,41-60,59,retired,married,secondary,319,yes,yes,december,12/1/2018,143,,1,auto ,1,1,1,5699,10
10023743,31-40,39,services,divorced,secondary,-185,yes,no,january,1/1/2018,189,,1,auto ,1,1,1,3237,10
10023744,41-60,49,services,married,secondary,47,no,yes,february,2/1/2018,234,47.25,1,auto ,1,1,1,2558,10
10023745,31-40,38,services,single,secondary,570,yes,no,march,3/1/2018,75,30.04,1,mortgage,1,1,1,2298,10
10023746,31-40,36,self-employed,married,tertiary,19,no,yes,april,4/1/2018,189,9.83,1,mortgage,1,1,1,3397,10
10023747,41-60,50,blue-collar,married,primary,61,yes,yes,may,5/1/2018,621,,1,mortgage,1,1,1,2106,10
10023748,41-60,41,admin.,married,secondary,-62,yes,yes,june,6/1/2018,55,,1,mortgage,1,1,1,6895,10
10023749,41-60,54,technician,married,tertiary,258,no,yes,july,7/1/2018,310,40.42,1,mortgage,1,1,1,7632,10
10023750,41-60,58,blue-collar,married,primary,76,yes,yes,august,8/1/2018,156,0,1,mortgage,1,1,1,9753,10
10023751,18-30,30,blue-collar,single,secondary,0,yes,no,september,9/1/2018,5,0,1,mortgage,1,1,1,2257,10
10023752,31-40,33,admin.,single,secondary,352,yes,no,october,10/1/2018,225,103.9,1,mortgage,1,1,1,12353,10
10023753,41-60,47,admin.,married,secondary,368,yes,yes,november,11/1/2018,125,101.96,1,mortgage,1,1,1,2356,10
10023754,41-60,50,technician,single,tertiary,339,yes,yes,december,12/1/2018,2,193.91,1,mortgage,0,,0,7654,
10023755,31-40,32,blue-collar,married,secondary,1331,yes,no,january,1/1/2018,286,273.01,1,mortgage,0,,0,7854,
10023756,31-40,40,self-employed,married,secondary,672,yes,no,february,2/1/2018,164,56.99,1,mortgage,0,,0,8954,
10023757,31-40,37,management,married,tertiary,58,yes,yes,march,3/1/2018,98,46.48,1,mortgage,0,,0,3678,
10023758,41-60,54,technician,single,,447,yes,no,april,4/1/2018,742,125.53,1,mortgage,0,,0,4853,
10023759,18-30,24,student,single,secondary,423,yes,no,may,5/1/2018,226,0,1,mortgage,0,,0,8675,
10023760,41-60,54,management,married,tertiary,0,no,yes,june,6/1/2018,120,0,1,mortgage,1,,0,9764,
10023761,31-40,34,technician,married,secondary,19,yes,no,july,7/1/2018,362,4.54,1,mortgage,1,,0,2457,
10023762,41-60,56,technician,divorced,primary,13,yes,no,august,8/1/2018,357,1.8,1,mortgage,1,,0,3678,
10023763,31-40,31,blue-collar,single,secondary,3,yes,no,september,9/1/2018,200,4.53,1,mortgage,1,,0,9765,
10023764,18-30,24,student,single,secondary,82,yes,no,october,10/1/2018,204,13.83,1,mortgage,1,,0,7543,
10023765,41-60,42,blue-collar,divorced,primary,28,yes,no,november,11/1/2018,126,42.99,1,mortgage,1,,0,6895,
10023766,41-60,57,technician,married,secondary,792,yes,yes,december,12/1/2018,65,164.1,1,mortgage,1,,0,7632,
10023767,41-60,42,blue-collar,married,,408,yes,yes,january,1/1/2018,107,134.37,1,mortgage,0,,0,9753,
10023768,41-60,51,admin.,married,secondary,531,yes,yes,february,2/1/2018,267,96.63,1,unsecured ,1,,0,2257,
10023769,41-60,57,retired,married,secondary,211,yes,yes,march,3/1/2018,248,33.02,1,unsecured ,0,,0,12353,
10023770,31-40,36,services,single,secondary,62,yes,no,april,4/1/2018,215,36.44,1,unsecured ,1,,0,2356,
10023771,41-60,53,services,married,,257,yes,yes,may,5/1/2018,209,162.57,1,unsecured ,0,,0,7654,
10023772,41-60,50,technician,married,secondary,1234,yes,yes,june,6/1/2018,205,179.41,1,unsecured ,1,,0,7854,
10023773,41-60,54,management,married,tertiary,313,yes,yes,july,7/1/2018,83,48.18,1,unsecured ,0,,0,8954,
10023774,41-60,55,blue-collar,married,secondary,89,yes,yes,august,8/1/2018,106,30.93,1,unsecured ,1,,0,3678,
10023775,41-60,44,blue-collar,married,secondary,129,yes,yes,september,9/1/2018,189,0,1,unsecured ,0,,0,4853,
10023776,41-60,43,management,married,,0,yes,yes,october,10/1/2018,105,0,1,unsecured ,1,,0,8675,
10023777,41-60,56,admin.,married,secondary,353,yes,yes,november,11/1/2018,106,158.22,1,unsecured ,0,,0,9764,
10023778,41-60,54,technician,married,,851,yes,yes,december,12/1/2018,108,82.51,1,unsecured ,1,,0,2457,
10023779,41-60,55,services,divorced,primary,96,yes,no,january,1/1/2018,311,56.43,1,unsecured ,1,,0,3678,
10023780,31-40,37,services,divorced,secondary,398,yes,no,february,2/1/2018,214,80.01,1,unsecured ,1,,0,9765,
10023781,31-40,33,admin.,single,tertiary,193,no,no,march,3/1/2018,132,,1,auto ,1,,0,7543,
10023782,41-60,46,admin.,married,secondary,-358,yes,yes,april,4/1/2018,358,,1,auto ,1,,0,4384,
10023783,31-40,36,blue-collar,married,secondary,539,yes,no,may,5/1/2018,453,0,1,auto ,1,1,1,4080,10
10023784,41-60,51,technician,single,secondary,0,yes,no,june,6/1/2018,364,0,1,auto ,1,1,1,2127,10
10023785,31-40,40,retired,single,primary,0,no,no,july,7/1/2018,136,0,1,auto ,1,1,1,5699,10
10023786,41-60,42,blue-collar,married,secondary,490,yes,yes,august,8/1/2018,386,0,1,auto ,1,1,1,3237,10
10023787,41-60,51,blue-collar,married,secondary,0,yes,yes,september,9/1/2018,173,0,1,auto ,1,1,1,2558,10
10023788,41-60,49,blue-collar,married,,403,yes,yes,october,10/1/2018,241,73.53,1,auto ,1,1,1,2298,10
10023789,41-60,48,management,married,secondary,161,yes,yes,november,11/1/2018,224,185.26,1,auto ,1,1,1,3397,10
10023790,31-40,32,technician,divorced,tertiary,2558,no,no,december,12/1/2018,148,144.53,1,auto ,1,1,1,2106,10
10023791,31-40,31,admin.,single,secondary,98,yes,no,january,1/1/2018,196,30.65,1,auto ,1,1,1,4080,10
10023792,41-60,55,management,single,tertiary,115,no,yes,february,2/1/2018,111,64.64,1,auto ,1,1,1,2127,10
10023793,31-40,40,blue-collar,single,secondary,436,yes,no,march,3/1/2018,231,173.76,1,auto ,1,1,1,5699,10
10023794,41-60,47,technician,married,tertiary,831,yes,yes,april,4/1/2018,316,119.44,1,auto ,1,1,1,3237,10
10023795,41-60,57,technician,married,,206,yes,yes,may,5/1/2018,216,70.56,1,auto ,1,1,1,2558,10
10023796,41-60,41,blue-collar,married,secondary,290,yes,yes,june,6/1/2018,240,4.92,1,auto ,1,1,1,2298,10
10023797,41-60,48,blue-collar,married,secondary,1,no,yes,july,7/1/2018,669,2.18,1,auto ,1,1,1,2586,10
10023798,41-60,42,blue-collar,married,,57,yes,yes,august,8/1/2018,425,,1,auto ,1,1,1,6530,10
10023799,18-30,30,blue-collar,single,secondary,-457,yes,no,september,9/1/2018,143,,1,mortgage,1,1,1,2476,10
10023800,41-60,58,management,single,tertiary,1387,yes,yes,october,10/1/2018,174,1686.16,1,mortgage,1,1,1,4384,10
10023801,41-60,45,management,divorced,tertiary,24598,yes,yes,november,11/1/2018,313,247.98,1,mortgage,1,1,1,4080,10
10023802,41-60,49,blue-collar,married,secondary,30,yes,yes,december,12/1/2018,135,50.55,1,mortgage,1,1,1,2127,10
10023803,41-60,42,admin.,single,secondary,1022,yes,no,january,1/1/2018,146,69.06,1,mortgage,1,1,1,5699,10
10023804,41-60,53,technician,married,secondary,56,yes,yes,february,2/1/2018,152,,1,mortgage,1,1,1,3237,10
10023805,41-60,51,admin.,single,secondary,-2,no,no,march,3/1/2018,402,,1,mortgage,1,1,1,2558,10
10023806,31-40,32,services,single,secondary,121,yes,no,april,4/1/2018,213,92.14,1,mortgage,1,1,1,2298,10
10023807,41-60,41,blue-collar,single,secondary,842,yes,no,may,5/1/2018,144,220.51,1,mortgage,1,1,1,3397,10
10023808,41-60,43,management,divorced,secondary,693,yes,no,june,6/1/2018,124,,1,mortgage,1,1,1,2106,10
10023809,31-40,40,blue-collar,divorced,secondary,-333,yes,no,july,7/1/2018,183,,1,mortgage,1,1,1,6895,10
10023810,41-60,50,blue-collar,married,primary,1533,yes,yes,august,8/1/2018,325,76.66,1,mortgage,1,1,1,7632,10
10023811,31-40,34,management,married,tertiary,46,yes,yes,september,9/1/2018,39,8.31,1,mortgage,1,1,1,9753,10
10023812,41-60,53,services,married,,18,no,yes,october,10/1/2018,503,8.12,1,mortgage,1,1,1,2257,10
10023813,41-60,45,technician,married,secondary,44,yes,yes,november,11/1/2018,95,,1,mortgage,1,1,1,12353,10
10023814,31-40,39,blue-collar,married,primary,-100,yes,no,december,12/1/2018,680,,1,unsecured ,1,1,1,2356,10
10023815,41-60,44,services,married,tertiary,510,yes,yes,january,1/1/2018,421,170.62,1,unsecured ,1,1,1,7654,10
10023816,41-60,55,management,married,tertiary,685,yes,yes,february,2/1/2018,174,103.32,1,unsecured ,1,1,1,7854,10
10023817,41-60,46,management,single,tertiary,187,yes,yes,march,3/1/2018,113,32.07,1,unsecured ,1,1,1,8954,10
10023818,41-60,45,blue-collar,married,secondary,66,yes,yes,april,4/1/2018,808,55.5,1,unsecured ,1,1,1,3678,10
10023819,31-40,34,admin.,married,secondary,560,yes,no,may,5/1/2018,198,0,1,unsecured ,1,1,1,4853,10
10023820,31-40,36,blue-collar,married,secondary,0,yes,no,june,6/1/2018,195,0,1,unsecured ,1,1,1,8675,10
10023821,41-60,59,,divorced,,27,no,no,july,7/1/2018,347,5.2,1,unsecured ,1,1,1,9764,10
10023822,31-40,31,admin.,single,secondary,12,yes,no,august,8/1/2018,208,5.83,1,unsecured ,1,1,1,2457,10
10023823,41-60,44,blue-collar,single,secondary,34,yes,no,september,9/1/2018,404,55.01,1,unsecured ,1,1,1,3678,10
10023824,31-40,33,entrepreneur,single,tertiary,1068,yes,no,october,10/1/2018,396,137.04,1,unsecured ,1,1,1,9765,10
10023825,31-40,40,blue-collar,married,secondary,211,yes,no,november,11/1/2018,216,81.42,1,business,1,1,1,7543,10
10023826,41-60,46,admin.,single,tertiary,377,yes,yes,december,12/1/2018,98,90.9,1,mortgage,1,1,1,3397,10
10023827,41-60,48,management,married,tertiary,263,yes,yes,january,1/1/2018,350,166.38,1,mortgage,1,1,1,2106,10
10023828,41-60,42,services,married,secondary,1263,yes,yes,february,2/1/2018,114,29.02,1,mortgage,1,1,1,2558,10
10023829,18-30,27,services,married,secondary,8,yes,no,march,3/1/2018,88,9.17,1,mortgage,1,1,1,2298,10
10023830,41-60,48,admin.,married,secondary,126,yes,yes,april,4/1/2018,379,49.14,1,mortgage,1,1,1,3397,10
10023831,41-60,59,admin.,married,secondary,230,yes,yes,may,5/1/2018,190,126.96,1,mortgage,1,1,1,2106,10
10023832,41-60,46,technician,married,tertiary,841,yes,yes,june,6/1/2018,158,146.92,1,mortgage,1,1,1,4853,10
10023833,31-40,38,admin.,divorced,secondary,308,yes,no,july,7/1/2018,102,5.07,1,mortgage,1,,0,8675,
10023834,41-60,43,management,divorced,tertiary,1,yes,yes,august,8/1/2018,306,2.68,1,auto ,1,,0,9764,
10023835,31-40,38,admin.,divorced,tertiary,86,yes,no,september,9/1/2018,218,33.54,1,auto ,1,,0,2457,
10023836,18-30,23,student,single,secondary,157,yes,no,october,10/1/2018,54,16.97,1,auto ,1,,0,3678,
10023837,31-40,34,services,married,secondary,22,yes,no,november,11/1/2018,344,9.18,1,auto ,1,,0,9765,
10023838,31-40,38,admin.,married,secondary,46,yes,no,december,12/1/2018,195,70.4,1,auto ,1,,0,7543,
10023839,31-40,37,blue-collar,married,secondary,1293,no,no,january,1/1/2018,652,114.65,0,no product,0,0,0,6689,
10023840,18-30,25,admin.,single,secondary,122,yes,no,february,2/1/2018,286,36.49,0,no product,0,0,0,4376,
10023841,41-60,48,blue-collar,married,,131,yes,yes,march,3/1/2018,189,39.51,0,no product,0,0,0,6895,
10023842,41-60,49,blue-collar,single,secondary,143,yes,no,april,4/1/2018,83,68.43,0,no product,0,0,0,7632,
10023843,31-40,38,admin.,single,secondary,393,no,no,may,5/1/2018,184,56.65,0,no product,0,0,0,9753,
10023844,41-60,43,blue-collar,married,primary,98,yes,yes,june,6/1/2018,235,0,0,no product,0,0,0,2257,
10023845,31-40,33,management,married,tertiary,0,yes,yes,july,7/1/2018,290,0,0,no product,0,0,0,6895,
10023846,41-60,55,blue-collar,married,secondary,224,yes,yes,august,8/1/2018,232,118.87,0,no product,0,0,0,6895,
10023847,31-40,38,blue-collar,married,secondary,757,yes,no,september,9/1/2018,133,124.32,0,no product,0,0,0,7632,
10023848,41-60,49,services,married,secondary,245,yes,yes,october,10/1/2018,318,416.24,0,no product,0,0,0,6895,
10023849,31-40,40,management,married,secondary,8486,no,no,november,11/1/2018,260,497.5,0,no product,0,0,0,7632,
10023850,41-60,43,admin.,married,,350,no,yes,december,12/1/2018,437,24.15,0,no product,0,0,0,9753,
10023851,31-40,38,blue-collar,married,secondary,20,yes,no,january,1/1/2018,402,52.71,1,mortgage,1,,0,8675,
10023852,41-60,58,services,married,secondary,1667,yes,yes,february,2/1/2018,85,218.92,1,mortgage,1,,0,9764,
10023853,41-60,57,technician,married,,345,yes,yes,march,3/1/2018,125,16.96,1,mortgage,1,1,1,2457,10
10023854,31-40,32,unemployed,married,secondary,10,yes,no,april,4/1/2018,501,26.3,1,mortgage,1,1,1,3678,10
10023855,41-60,56,management,married,tertiary,830,yes,yes,may,5/1/2018,1201,44.79,1,mortgage,1,1,1,9765,10
10023856,41-60,58,blue-collar,divorced,,29,yes,no,june,6/1/2018,253,36.29,1,business,1,1,1,6895,10
10023857,41-60,60,retired,divorced,secondary,545,yes,no,july,7/1/2018,1030,629.67,0,no product,0,0,0,7632,
10023858,31-40,37,technician,married,tertiary,8730,yes,yes,august,8/1/2018,149,589.08,0,no product,0,0,0,9753,
10023859,41-60,46,technician,divorced,tertiary,477,yes,yes,september,9/1/2018,114,12.61,0,no product,0,0,0,2257,
10023860,18-30,27,admin.,married,secondary,4,yes,no,october,10/1/2018,243,20.04,0,no product,0,0,0,12353,
10023861,41-60,43,blue-collar,married,secondary,1205,yes,yes,november,11/1/2018,769,0,0,no product,0,0,0,6895,
10023862,31-40,32,technician,single,secondary,0,yes,no,december,12/1/2018,135,0,0,no product,0,0,0,7632,
10023863,31-40,40,admin.,single,secondary,263,yes,no,january,1/1/2018,231,4.68,0,no product,0,0,0,9753,
10023864,31-40,38,admin.,married,secondary,1,no,no,february,2/1/2018,76,4.86,0,no product,0,0,0,2257,
10023865,31-40,34,blue-collar,married,secondary,283,no,no,march,3/1/2018,199,69.7,0,no product,0,0,0,12353,
10023866,41-60,47,blue-collar,married,primary,206,yes,yes,april,4/1/2018,152,17.08,0,no product,0,0,0,2356,
10023867,41-60,42,housemaid,married,primary,17,yes,yes,may,5/1/2018,124,14.13,0,no product,0,0,0,7654,
10023868,41-60,48,technician,married,secondary,141,yes,yes,june,6/1/2018,424,13.71,0,no product,0,0,0,7854,
10023869,18-30,29,self-employed,single,tertiary,16,yes,no,july,7/1/2018,43,16.57,0,no product,0,0,0,6895,
10023870,41-60,50,services,married,secondary,206,yes,yes,august,8/1/2018,154,10.96,0,no product,0,0,0,7632,
10023871,41-60,52,technician,married,,7,no,yes,september,9/1/2018,203,0,0,no product,0,0,0,9753,
10023872,41-60,50,management,married,tertiary,0,no,yes,october,10/1/2018,326,0,0,no product,0,0,0,2257,
10023873,41-60,58,retired,married,tertiary,0,no,yes,november,11/1/2018,393,0,0,no product,0,0,0,12353,
10023874,41-60,46,blue-collar,divorced,primary,1927,yes,no,december,12/1/2018,241,213.55,0,no product,0,0,0,2356,
10023875,31-40,38,technician,married,secondary,284,yes,no,january,1/1/2018,483,198.21,0,no product,0,0,0,7654,
10023876,41-60,46,blue-collar,married,secondary,1660,yes,yes,february,2/1/2018,259,236.99,0,no product,0,0,0,7854,
10023877,31-40,32,services,single,secondary,406,yes,no,march,3/1/2018,227,88.21,0,no product,0,0,0,8954,
10023878,41-60,51,blue-collar,married,primary,230,yes,yes,april,4/1/2018,673,,0,no product,0,0,0,3678,
10023879,31-40,39,admin.,single,secondary,-25,yes,no,may,5/1/2018,576,,0,no product,0,0,0,4853,
10023880,41-60,48,admin.,married,secondary,182,yes,yes,june,6/1/2018,180,133.15,0,no product,0,0,0,8675,
10023881,31-40,36,entrepreneur,married,tertiary,1169,yes,yes,july,7/1/2018,168,80.79,0,no product,0,0,0,9764,
10023882,31-40,34,admin.,divorced,secondary,67,yes,no,august,8/1/2018,90,20.73,0,no product,0,0,0,2457,
10023883,31-40,40,technician,married,secondary,77,no,no,september,9/1/2018,505,0,0,no product,0,0,0,3678,
10023884,41-60,43,unemployed,married,secondary,0,yes,yes,october,10/1/2018,245,0,0,no product,0,0,0,9765,
10023885,41-60,52,blue-collar,divorced,primary,55,yes,no,november,11/1/2018,186,18.17,0,no product,0,0,0,7543,
10023886,31-40,33,technician,married,secondary,72,yes,no,december,12/1/2018,623,31.27,0,no product,0,0,0,6895,
10023887,41-60,49,management,single,tertiary,163,yes,yes,january,1/1/2018,496,45.29,0,no product,0,0,0,7632,
10023888,31-40,32,management,single,tertiary,151,yes,no,february,2/1/2018,118,37.71,0,no product,0,0,0,9753,
10023889,31-40,39,admin.,single,secondary,113,yes,no,march,3/1/2018,342,0,0,no product,0,0,0,6895,
10023890,31-40,40,blue-collar,married,secondary,0,yes,no,april,4/1/2018,225,0,0,no product,0,0,0,7632,
10023891,31-40,38,technician,single,tertiary,9,yes,no,may,5/1/2018,185,16.77,0,no product,0,0,0,9753,
10023892,41-60,43,management,married,secondary,375,yes,yes,june,6/1/2018,196,188.91,0,no product,0,0,0,,
10023893,31-40,39,services,married,secondary,1142,yes,no,july,7/1/2018,276,447.26,0,no product,0,0,0,,
10023894,41-60,54,blue-collar,married,primary,2102,yes,yes,august,8/1/2018,76,870.4,0,no product,0,0,0,,
10023895,31-40,38,technician,single,tertiary,4325,yes,no,september,9/1/2018,87,279.66,0,no product,0,0,0,,
10023896,31-40,40,blue-collar,married,secondary,217,yes,no,october,10/1/2018,195,48.67,0,no product,0,0,0,,
10023897,41-60,55,admin.,married,secondary,131,yes,yes,november,11/1/2018,744,135.43,0,no product,0,0,0,,
10023898,41-60,42,management,married,tertiary,1680,yes,yes,december,12/1/2018,765,0,0,no product,0,0,0,,
10023899,31-40,39,blue-collar,married,secondary,0,yes,no,january,1/1/2018,262,0,0,no product,0,0,0,,
10023900,31-40,40,blue-collar,married,primary,46,yes,no,february,2/1/2018,119,35.02,0,no product,0,0,0,,
10023901,31-40,32,blue-collar,married,secondary,320,yes,no,march,3/1/2018,198,69.86,0,no product,0,0,0,,
10023902,41-60,55,admin.,married,secondary,183,yes,yes,april,4/1/2018,150,24.39,0,no product,0,0,0,,
10023903,41-60,45,blue-collar,married,secondary,39,no,yes,may,5/1/2018,241,42.66,0,no product,0,0,0,,
10023904,31-40,35,management,single,tertiary,560,yes,no,june,6/1/2018,181,147.94,0,no product,0,0,0,,
10023905,41-60,58,technician,divorced,secondary,469,no,no,july,7/1/2018,196,143.92,0,no product,0,0,0,,
10023906,31-40,35,admin.,married,secondary,530,yes,no,august,8/1/2018,149,51.91,0,no product,0,0,0,,
10023907,41-60,49,services,married,primary,61,yes,yes,september,9/1/2018,246,35.07,0,no product,0,0,0,,
10023908,31-40,34,technician,single,tertiary,242,yes,no,october,10/1/2018,112,52.94,0,no product,0,0,0,,
10023909,31-40,36,blue-collar,married,secondary,139,yes,no,november,11/1/2018,309,0,0,no product,0,0,0,,
10023910,18-30,24,self-employed,single,secondary,0,yes,no,december,12/1/2018,278,0,0,no product,0,0,0,,
10023911,31-40,34,technician,married,secondary,367,yes,no,january,1/1/2018,140,83.5,0,no product,0,0,0,,
10023912,41-60,51,admin.,divorced,secondary,228,yes,no,february,2/1/2018,136,927.21,0,no product,0,0,0,,
10023913,31-40,39,technician,single,,45248,yes,no,march,3/1/2018,1623,,0,no product,0,0,0,,
10023914,41-60,50,self-employed,married,,-84,yes,yes,april,4/1/2018,101,,0,no product,0,0,0,,
10023915,31-40,32,services,single,secondary,310,yes,no,may,5/1/2018,144,58.4,0,no product,0,0,0,,
10023916,41-60,42,blue-collar,married,,132,yes,yes,june,6/1/2018,238,93.63,0,no product,0,0,0,,
10023917,41-60,50,technician,married,secondary,797,yes,yes,july,7/1/2018,354,68.67,0,no product,0,0,0,,
10023918,31-40,40,services,married,secondary,71,no,no,august,8/1/2018,79,3.44,0,no product,0,0,0,,
10023919,41-60,46,management,divorced,,2,yes,no,september,9/1/2018,187,6.2,0,no product,0,0,0,,
10023920,31-40,37,management,married,tertiary,231,yes,yes,october,10/1/2018,451,72.09,0,no product,0,0,0,,
10023921,31-40,34,blue-collar,married,secondary,270,yes,no,november,11/1/2018,159,78.52,0,no product,0,0,0,,
10023922,41-60,44,blue-collar,married,secondary,274,yes,yes,december,12/1/2018,409,,0,no product,0,0,0,,
10023923,31-40,40,admin.,single,secondary,-109,yes,no,january,1/1/2018,170,,0,no product,0,0,0,,
10023924,31-40,37,technician,married,secondary,1,yes,no,february,2/1/2018,608,,0,no product,0,0,0,,
10023925,31-40,33,blue-collar,single,secondary,-60,no,no,march,3/1/2018,243,,0,no product,0,0,0,,
10023926,31-40,35,blue-collar,married,secondary,89,yes,no,april,4/1/2018,145,,0,no product,0,0,0,,
10023927,41-60,58,blue-collar,divorced,secondary,-11,no,no,may,5/1/2018,112,,0,no product,0,0,0,,
10023928,31-40,39,blue-collar,married,primary,0,yes,no,june,6/1/2018,262,,0,no product,0,0,0,,
10023929,41-60,43,blue-collar,married,secondary,-509,yes,yes,july,7/1/2018,124,,0,no product,0,0,0,,
10023930,31-40,39,unemployed,married,primary,408,yes,no,august,8/1/2018,53,44.41,0,no product,0,0,0,,
10023931,31-40,36,services,single,primary,58,yes,no,september,9/1/2018,134,89.03,0,no product,0,0,0,,
10023932,41-60,57,retired,single,secondary,1640,no,no,october,10/1/2018,204,52.28,0,no product,0,0,0,,
10023933,31-40,36,admin.,single,secondary,20,yes,no,november,11/1/2018,186,10.88,0,no product,0,0,0,,
10023934,41-60,50,blue-collar,married,primary,71,yes,yes,december,12/1/2018,678,17.54,0,no product,0,0,0,,
10023935,41-60,55,blue-collar,married,secondary,52,yes,yes,january,1/1/2018,182,35.57,0,no product,0,0,0,,
10023936,41-60,44,self-employed,married,tertiary,292,yes,yes,february,2/1/2018,162,101.57,0,no product,0,0,0,,
10023937,41-60,44,services,divorced,secondary,424,yes,no,march,3/1/2018,27,62.06,0,no product,0,0,0,,
10023938,31-40,39,housemaid,single,primary,109,yes,no,april,4/1/2018,699,97.38,0,no product,0,0,0,,
10023939,41-60,46,blue-collar,married,,1044,yes,yes,may,5/1/2018,43,292.44,0,no product,0,0,0,,
10023940,31-40,39,blue-collar,married,secondary,983,yes,no,june,6/1/2018,97,266.81,0,no product,0,0,0,,
10023941,31-40,34,admin.,married,secondary,869,no,no,july,7/1/2018,1677,219.94,0,no product,0,0,0,,
10023942,31-40,40,blue-collar,married,primary,668,yes,no,august,8/1/2018,283,231.65,0,no product,0,0,0,,
10023943,41-60,50,management,married,tertiary,964,yes,yes,september,9/1/2018,323,155.5,0,no product,0,0,0,,
10023944,31-40,31,management,single,secondary,301,yes,no,october,10/1/2018,82,59.26,0,no product,0,0,0,,
10023945,31-40,37,admin.,single,secondary,140,yes,no,november,11/1/2018,310,147.98,0,no product,0,0,0,,
10023946,31-40,39,management,single,secondary,1877,yes,no,december,12/1/2018,185,419.86,0,no product,0,0,0,,
