"","RefNum","agerange","age","job","marital","education","balance","housing","loan","month","date","duration","deposit","lead","product","qualified","contacted","won","loanvalue"
"285",10023751,"18-30",30,"blue-collar","single","secondary",0,"yes","no","september",2018-09-01,5,0,1,"mortgage",1,1,1,2257
"286",10023752,"31-40",33,"admin.","single","secondary",352,"yes","no","october",2018-10-01,225,103.9,1,"mortgage",1,1,1,12353
"287",10023753,"41-60",47,"admin.","married","secondary",368,"yes","yes","november",2018-11-01,125,101.96,1,"mortgage",1,1,1,2356
"288",10023754,"41-60",50,"technician","single","tertiary",339,"yes","yes","december",2018-12-01,2,193.91,1,"mortgage",0,0,0,7654
"289",10023755,"31-40",32,"blue-collar","married","secondary",1331,"yes","no","january",2018-01-01,286,273.01,1,"mortgage",0,0,0,7854
"290",10023756,"31-40",40,"self-employed","married","secondary",672,"yes","no","february",2018-02-01,164,56.99,1,"mortgage",0,0,0,8954
"291",10023757,"31-40",37,"management","married","tertiary",58,"yes","yes","march",2018-03-01,98,46.48,1,"mortgage",0,0,0,3678
"293",10023759,"18-30",24,"student","single","secondary",423,"yes","no","may",2018-05-01,226,0,1,"mortgage",0,0,0,8675
"294",10023760,"41-60",54,"management","married","tertiary",0,"no","yes","june",2018-06-01,120,0,1,"mortgage",1,1,0,9764
"295",10023761,"31-40",34,"technician","married","secondary",19,"yes","no","july",2018-07-01,362,4.54,1,"mortgage",1,1,0,2457
"296",10023762,"41-60",56,"technician","divorced","primary",13,"yes","no","august",2018-08-01,357,1.8,1,"mortgage",1,1,0,3678
"297",10023763,"31-40",31,"blue-collar","single","secondary",3,"yes","no","september",2018-09-01,200,4.53,1,"mortgage",1,1,0,9765
"298",10023764,"18-30",24,"student","single","secondary",82,"yes","no","october",2018-10-01,204,13.83,1,"mortgage",1,1,0,7543
"299",10023765,"41-60",42,"blue-collar","divorced","primary",28,"yes","no","november",2018-11-01,126,42.99,1,"mortgage",1,1,0,6895
"300",10023766,"41-60",57,"technician","married","secondary",792,"yes","yes","december",2018-12-01,65,164.1,1,"mortgage",1,1,0,7632
"302",10023768,"41-60",51,"admin.","married","secondary",531,"yes","yes","february",2018-02-01,267,96.63,1,"unsecured ",1,1,0,2257
"303",10023769,"41-60",57,"retired","married","secondary",211,"yes","yes","march",2018-03-01,248,33.02,1,"unsecured ",0,0,0,12353
"304",10023770,"31-40",36,"services","single","secondary",62,"yes","no","april",2018-04-01,215,36.44,1,"unsecured ",1,1,0,2356
"306",10023772,"41-60",50,"technician","married","secondary",1234,"yes","yes","june",2018-06-01,205,179.41,1,"unsecured ",1,1,0,7854
"307",10023773,"41-60",54,"management","married","tertiary",313,"yes","yes","july",2018-07-01,83,48.18,1,"unsecured ",0,0,0,8954
"308",10023774,"41-60",55,"blue-collar","married","secondary",89,"yes","yes","august",2018-08-01,106,30.93,1,"unsecured ",1,1,0,3678
"309",10023775,"41-60",44,"blue-collar","married","secondary",129,"yes","yes","september",2018-09-01,189,0,1,"unsecured ",0,0,0,4853
"311",10023777,"41-60",56,"admin.","married","secondary",353,"yes","yes","november",2018-11-01,106,158.22,1,"unsecured ",0,0,0,9764
"313",10023779,"41-60",55,"services","divorced","primary",96,"yes","no","january",2018-01-01,311,56.43,1,"unsecured ",1,1,0,3678
"314",10023780,"31-40",37,"services","divorced","secondary",398,"yes","no","february",2018-02-01,214,80.01,1,"unsecured ",1,1,0,9765
"317",10023783,"31-40",36,"blue-collar","married","secondary",539,"yes","no","may",2018-05-01,453,0,1,"auto ",1,1,1,4080
"318",10023784,"41-60",51,"technician","single","secondary",0,"yes","no","june",2018-06-01,364,0,1,"auto ",1,1,1,2127
"319",10023785,"31-40",40,"retired","single","primary",0,"no","no","july",2018-07-01,136,0,1,"auto ",1,1,1,5699
"320",10023786,"41-60",42,"blue-collar","married","secondary",490,"yes","yes","august",2018-08-01,386,0,1,"auto ",1,1,1,3237
"321",10023787,"41-60",51,"blue-collar","married","secondary",0,"yes","yes","september",2018-09-01,173,0,1,"auto ",1,1,1,2558
"323",10023789,"41-60",48,"management","married","secondary",161,"yes","yes","november",2018-11-01,224,185.26,1,"auto ",1,1,1,3397
"324",10023790,"31-40",32,"technician","divorced","tertiary",2558,"no","no","december",2018-12-01,148,144.53,1,"auto ",1,1,1,2106
"325",10023791,"31-40",31,"admin.","single","secondary",98,"yes","no","january",2018-01-01,196,30.65,1,"auto ",1,1,1,4080
"326",10023792,"41-60",55,"management","single","tertiary",115,"no","yes","february",2018-02-01,111,64.64,1,"auto ",1,1,1,2127
"327",10023793,"31-40",40,"blue-collar","single","secondary",436,"yes","no","march",2018-03-01,231,173.76,1,"auto ",1,1,1,5699
"328",10023794,"41-60",47,"technician","married","tertiary",831,"yes","yes","april",2018-04-01,316,119.44,1,"auto ",1,1,1,3237
"330",10023796,"41-60",41,"blue-collar","married","secondary",290,"yes","yes","june",2018-06-01,240,4.92,1,"auto ",1,1,1,2298
"331",10023797,"41-60",48,"blue-collar","married","secondary",1,"no","yes","july",2018-07-01,669,2.18,1,"auto ",1,1,1,2586
"334",10023800,"41-60",58,"management","single","tertiary",1387,"yes","yes","october",2018-10-01,174,1686.16,1,"mortgage",1,1,1,4384
"335",10023801,"41-60",45,"management","divorced","tertiary",24598,"yes","yes","november",2018-11-01,313,247.98,1,"mortgage",1,1,1,4080
"336",10023802,"41-60",49,"blue-collar","married","secondary",30,"yes","yes","december",2018-12-01,135,50.55,1,"mortgage",1,1,1,2127
"337",10023803,"41-60",42,"admin.","single","secondary",1022,"yes","no","january",2018-01-01,146,69.06,1,"mortgage",1,1,1,5699
"340",10023806,"31-40",32,"services","single","secondary",121,"yes","no","april",2018-04-01,213,92.14,1,"mortgage",1,1,1,2298
"341",10023807,"41-60",41,"blue-collar","single","secondary",842,"yes","no","may",2018-05-01,144,220.51,1,"mortgage",1,1,1,3397
"344",10023810,"41-60",50,"blue-collar","married","primary",1533,"yes","yes","august",2018-08-01,325,76.66,1,"mortgage",1,1,1,7632
"345",10023811,"31-40",34,"management","married","tertiary",46,"yes","yes","september",2018-09-01,39,8.31,1,"mortgage",1,1,1,9753
"349",10023815,"41-60",44,"services","married","tertiary",510,"yes","yes","january",2018-01-01,421,170.62,1,"unsecured ",1,1,1,7654
"350",10023816,"41-60",55,"management","married","tertiary",685,"yes","yes","february",2018-02-01,174,103.32,1,"unsecured ",1,1,1,7854
"351",10023817,"41-60",46,"management","single","tertiary",187,"yes","yes","march",2018-03-01,113,32.07,1,"unsecured ",1,1,1,8954
"352",10023818,"41-60",45,"blue-collar","married","secondary",66,"yes","yes","april",2018-04-01,808,55.5,1,"unsecured ",1,1,1,3678
"353",10023819,"31-40",34,"admin.","married","secondary",560,"yes","no","may",2018-05-01,198,0,1,"unsecured ",1,1,1,4853
"354",10023820,"31-40",36,"blue-collar","married","secondary",0,"yes","no","june",2018-06-01,195,0,1,"unsecured ",1,1,1,8675
"356",10023822,"31-40",31,"admin.","single","secondary",12,"yes","no","august",2018-08-01,208,5.83,1,"unsecured ",1,1,1,2457
"357",10023823,"41-60",44,"blue-collar","single","secondary",34,"yes","no","september",2018-09-01,404,55.01,1,"unsecured ",1,1,1,3678
"358",10023824,"31-40",33,"entrepreneur","single","tertiary",1068,"yes","no","october",2018-10-01,396,137.04,1,"unsecured ",1,1,1,9765
"359",10023825,"31-40",40,"blue-collar","married","secondary",211,"yes","no","november",2018-11-01,216,81.42,1,"business",1,1,1,7543
"360",10023826,"41-60",46,"admin.","single","tertiary",377,"yes","yes","december",2018-12-01,98,90.9,1,"mortgage",1,1,1,3397
"361",10023827,"41-60",48,"management","married","tertiary",263,"yes","yes","january",2018-01-01,350,166.38,1,"mortgage",1,1,1,2106
"362",10023828,"41-60",42,"services","married","secondary",1263,"yes","yes","february",2018-02-01,114,29.02,1,"mortgage",1,1,1,2558
"363",10023829,"18-30",27,"services","married","secondary",8,"yes","no","march",2018-03-01,88,9.17,1,"mortgage",1,1,1,2298
"364",10023830,"41-60",48,"admin.","married","secondary",126,"yes","yes","april",2018-04-01,379,49.14,1,"mortgage",1,1,1,3397
"365",10023831,"41-60",59,"admin.","married","secondary",230,"yes","yes","may",2018-05-01,190,126.96,1,"mortgage",1,1,1,2106
"366",10023832,"41-60",46,"technician","married","tertiary",841,"yes","yes","june",2018-06-01,158,146.92,1,"mortgage",1,1,1,4853
"367",10023833,"31-40",38,"admin.","divorced","secondary",308,"yes","no","july",2018-07-01,102,5.07,1,"mortgage",1,1,0,8675
"368",10023834,"41-60",43,"management","divorced","tertiary",1,"yes","yes","august",2018-08-01,306,2.68,1,"auto ",1,1,0,9764
"369",10023835,"31-40",38,"admin.","divorced","tertiary",86,"yes","no","september",2018-09-01,218,33.54,1,"auto ",1,1,0,2457
"370",10023836,"18-30",23,"student","single","secondary",157,"yes","no","october",2018-10-01,54,16.97,1,"auto ",1,1,0,3678
"371",10023837,"31-40",34,"services","married","secondary",22,"yes","no","november",2018-11-01,344,9.18,1,"auto ",1,1,0,9765
"372",10023838,"31-40",38,"admin.","married","secondary",46,"yes","no","december",2018-12-01,195,70.4,1,"auto ",1,1,0,7543
"373",10023839,"31-40",37,"blue-collar","married","secondary",1293,"no","no","january",2018-01-01,652,114.65,0,"no product",0,0,0,6689
"374",10023840,"18-30",25,"admin.","single","secondary",122,"yes","no","february",2018-02-01,286,36.49,0,"no product",0,0,0,4376
"376",10023842,"41-60",49,"blue-collar","single","secondary",143,"yes","no","april",2018-04-01,83,68.43,0,"no product",0,0,0,7632
"377",10023843,"31-40",38,"admin.","single","secondary",393,"no","no","may",2018-05-01,184,56.65,0,"no product",0,0,0,9753
"378",10023844,"41-60",43,"blue-collar","married","primary",98,"yes","yes","june",2018-06-01,235,0,0,"no product",0,0,0,2257
"379",10023845,"31-40",33,"management","married","tertiary",0,"yes","yes","july",2018-07-01,290,0,0,"no product",0,0,0,6895
"380",10023846,"41-60",55,"blue-collar","married","secondary",224,"yes","yes","august",2018-08-01,232,118.87,0,"no product",0,0,0,6895
"381",10023847,"31-40",38,"blue-collar","married","secondary",757,"yes","no","september",2018-09-01,133,124.32,0,"no product",0,0,0,7632
"382",10023848,"41-60",49,"services","married","secondary",245,"yes","yes","october",2018-10-01,318,416.24,0,"no product",0,0,0,6895
"383",10023849,"31-40",40,"management","married","secondary",8486,"no","no","november",2018-11-01,260,497.5,0,"no product",0,0,0,7632
"385",10023851,"31-40",38,"blue-collar","married","secondary",20,"yes","no","january",2018-01-01,402,52.71,1,"mortgage",1,1,0,8675
"386",10023852,"41-60",58,"services","married","secondary",1667,"yes","yes","february",2018-02-01,85,218.92,1,"mortgage",1,1,0,9764
"388",10023854,"31-40",32,"unemployed","married","secondary",10,"yes","no","april",2018-04-01,501,26.3,1,"mortgage",1,1,1,3678
"389",10023855,"41-60",56,"management","married","tertiary",830,"yes","yes","may",2018-05-01,1201,44.79,1,"mortgage",1,1,1,9765
"391",10023857,"41-60",60,"retired","divorced","secondary",545,"yes","no","july",2018-07-01,1030,629.67,0,"no product",0,0,0,7632
"392",10023858,"31-40",37,"technician","married","tertiary",8730,"yes","yes","august",2018-08-01,149,589.08,0,"no product",0,0,0,9753
"393",10023859,"41-60",46,"technician","divorced","tertiary",477,"yes","yes","september",2018-09-01,114,12.61,0,"no product",0,0,0,2257
"394",10023860,"18-30",27,"admin.","married","secondary",4,"yes","no","october",2018-10-01,243,20.04,0,"no product",0,0,0,12353
"395",10023861,"41-60",43,"blue-collar","married","secondary",1205,"yes","yes","november",2018-11-01,769,0,0,"no product",0,0,0,6895
"396",10023862,"31-40",32,"technician","single","secondary",0,"yes","no","december",2018-12-01,135,0,0,"no product",0,0,0,7632
"397",10023863,"31-40",40,"admin.","single","secondary",263,"yes","no","january",2018-01-01,231,4.68,0,"no product",0,0,0,9753
"398",10023864,"31-40",38,"admin.","married","secondary",1,"no","no","february",2018-02-01,76,4.86,0,"no product",0,0,0,2257
"399",10023865,"31-40",34,"blue-collar","married","secondary",283,"no","no","march",2018-03-01,199,69.7,0,"no product",0,0,0,12353
"400",10023866,"41-60",47,"blue-collar","married","primary",206,"yes","yes","april",2018-04-01,152,17.08,0,"no product",0,0,0,2356
"401",10023867,"41-60",42,"housemaid","married","primary",17,"yes","yes","may",2018-05-01,124,14.13,0,"no product",0,0,0,7654
"402",10023868,"41-60",48,"technician","married","secondary",141,"yes","yes","june",2018-06-01,424,13.71,0,"no product",0,0,0,7854
"403",10023869,"18-30",29,"self-employed","single","tertiary",16,"yes","no","july",2018-07-01,43,16.57,0,"no product",0,0,0,6895
"404",10023870,"41-60",50,"services","married","secondary",206,"yes","yes","august",2018-08-01,154,10.96,0,"no product",0,0,0,7632
"406",10023872,"41-60",50,"management","married","tertiary",0,"no","yes","october",2018-10-01,326,0,0,"no product",0,0,0,2257
"407",10023873,"41-60",58,"retired","married","tertiary",0,"no","yes","november",2018-11-01,393,0,0,"no product",0,0,0,12353
"408",10023874,"41-60",46,"blue-collar","divorced","primary",1927,"yes","no","december",2018-12-01,241,213.55,0,"no product",0,0,0,2356
"409",10023875,"31-40",38,"technician","married","secondary",284,"yes","no","january",2018-01-01,483,198.21,0,"no product",0,0,0,7654
"410",10023876,"41-60",46,"blue-collar","married","secondary",1660,"yes","yes","february",2018-02-01,259,236.99,0,"no product",0,0,0,7854
"411",10023877,"31-40",32,"services","single","secondary",406,"yes","no","march",2018-03-01,227,88.21,0,"no product",0,0,0,8954
"414",10023880,"41-60",48,"admin.","married","secondary",182,"yes","yes","june",2018-06-01,180,133.15,0,"no product",0,0,0,8675
"415",10023881,"31-40",36,"entrepreneur","married","tertiary",1169,"yes","yes","july",2018-07-01,168,80.79,0,"no product",0,0,0,9764
"416",10023882,"31-40",34,"admin.","divorced","secondary",67,"yes","no","august",2018-08-01,90,20.73,0,"no product",0,0,0,2457
"417",10023883,"31-40",40,"technician","married","secondary",77,"no","no","september",2018-09-01,505,0,0,"no product",0,0,0,3678
"418",10023884,"41-60",43,"unemployed","married","secondary",0,"yes","yes","october",2018-10-01,245,0,0,"no product",0,0,0,9765
"419",10023885,"41-60",52,"blue-collar","divorced","primary",55,"yes","no","november",2018-11-01,186,18.17,0,"no product",0,0,0,7543
"420",10023886,"31-40",33,"technician","married","secondary",72,"yes","no","december",2018-12-01,623,31.27,0,"no product",0,0,0,6895
"421",10023887,"41-60",49,"management","single","tertiary",163,"yes","yes","january",2018-01-01,496,45.29,0,"no product",0,0,0,7632
"422",10023888,"31-40",32,"management","single","tertiary",151,"yes","no","february",2018-02-01,118,37.71,0,"no product",0,0,0,9753
"423",10023889,"31-40",39,"admin.","single","secondary",113,"yes","no","march",2018-03-01,342,0,0,"no product",0,0,0,6895
"424",10023890,"31-40",40,"blue-collar","married","secondary",0,"yes","no","april",2018-04-01,225,0,0,"no product",0,0,0,7632
"425",10023891,"31-40",38,"technician","single","tertiary",9,"yes","no","may",2018-05-01,185,16.77,0,"no product",0,0,0,9753
"426",10023892,"41-60",43,"management","married","secondary",375,"yes","yes","june",2018-06-01,196,188.91,0,"no product",0,0,0,6371.81102362205
"427",10023893,"31-40",39,"services","married","secondary",1142,"yes","no","july",2018-07-01,276,447.26,0,"no product",0,0,0,6371.81102362205
"428",10023894,"41-60",54,"blue-collar","married","primary",2102,"yes","yes","august",2018-08-01,76,870.4,0,"no product",0,0,0,6371.81102362205
"429",10023895,"31-40",38,"technician","single","tertiary",4325,"yes","no","september",2018-09-01,87,279.66,0,"no product",0,0,0,6371.81102362205
"430",10023896,"31-40",40,"blue-collar","married","secondary",217,"yes","no","october",2018-10-01,195,48.67,0,"no product",0,0,0,6371.81102362205
"431",10023897,"41-60",55,"admin.","married","secondary",131,"yes","yes","november",2018-11-01,744,135.43,0,"no product",0,0,0,6371.81102362205
"432",10023898,"41-60",42,"management","married","tertiary",1680,"yes","yes","december",2018-12-01,765,0,0,"no product",0,0,0,6371.81102362205
"433",10023899,"31-40",39,"blue-collar","married","secondary",0,"yes","no","january",2018-01-01,262,0,0,"no product",0,0,0,6371.81102362205
"434",10023900,"31-40",40,"blue-collar","married","primary",46,"yes","no","february",2018-02-01,119,35.02,0,"no product",0,0,0,6371.81102362205
"435",10023901,"31-40",32,"blue-collar","married","secondary",320,"yes","no","march",2018-03-01,198,69.86,0,"no product",0,0,0,6371.81102362205
"436",10023902,"41-60",55,"admin.","married","secondary",183,"yes","yes","april",2018-04-01,150,24.39,0,"no product",0,0,0,6371.81102362205
"437",10023903,"41-60",45,"blue-collar","married","secondary",39,"no","yes","may",2018-05-01,241,42.66,0,"no product",0,0,0,6371.81102362205
"438",10023904,"31-40",35,"management","single","tertiary",560,"yes","no","june",2018-06-01,181,147.94,0,"no product",0,0,0,6371.81102362205
"439",10023905,"41-60",58,"technician","divorced","secondary",469,"no","no","july",2018-07-01,196,143.92,0,"no product",0,0,0,6371.81102362205
"440",10023906,"31-40",35,"admin.","married","secondary",530,"yes","no","august",2018-08-01,149,51.91,0,"no product",0,0,0,6371.81102362205
"441",10023907,"41-60",49,"services","married","primary",61,"yes","yes","september",2018-09-01,246,35.07,0,"no product",0,0,0,6371.81102362205
"442",10023908,"31-40",34,"technician","single","tertiary",242,"yes","no","october",2018-10-01,112,52.94,0,"no product",0,0,0,6371.81102362205
"443",10023909,"31-40",36,"blue-collar","married","secondary",139,"yes","no","november",2018-11-01,309,0,0,"no product",0,0,0,6371.81102362205
"444",10023910,"18-30",24,"self-employed","single","secondary",0,"yes","no","december",2018-12-01,278,0,0,"no product",0,0,0,6371.81102362205
"445",10023911,"31-40",34,"technician","married","secondary",367,"yes","no","january",2018-01-01,140,83.5,0,"no product",0,0,0,6371.81102362205
"446",10023912,"41-60",51,"admin.","divorced","secondary",228,"yes","no","february",2018-02-01,136,927.21,0,"no product",0,0,0,6371.81102362205
"449",10023915,"31-40",32,"services","single","secondary",310,"yes","no","may",2018-05-01,144,58.4,0,"no product",0,0,0,6371.81102362205
"451",10023917,"41-60",50,"technician","married","secondary",797,"yes","yes","july",2018-07-01,354,68.67,0,"no product",0,0,0,6371.81102362205
"452",10023918,"31-40",40,"services","married","secondary",71,"no","no","august",2018-08-01,79,3.44,0,"no product",0,0,0,6371.81102362205
"454",10023920,"31-40",37,"management","married","tertiary",231,"yes","yes","october",2018-10-01,451,72.09,0,"no product",0,0,0,6371.81102362205
"455",10023921,"31-40",34,"blue-collar","married","secondary",270,"yes","no","november",2018-11-01,159,78.52,0,"no product",0,0,0,6371.81102362205
"464",10023930,"31-40",39,"unemployed","married","primary",408,"yes","no","august",2018-08-01,53,44.41,0,"no product",0,0,0,6371.81102362205
"465",10023931,"31-40",36,"services","single","primary",58,"yes","no","september",2018-09-01,134,89.03,0,"no product",0,0,0,6371.81102362205
"466",10023932,"41-60",57,"retired","single","secondary",1640,"no","no","october",2018-10-01,204,52.28,0,"no product",0,0,0,6371.81102362205
"467",10023933,"31-40",36,"admin.","single","secondary",20,"yes","no","november",2018-11-01,186,10.88,0,"no product",0,0,0,6371.81102362205
"468",10023934,"41-60",50,"blue-collar","married","primary",71,"yes","yes","december",2018-12-01,678,17.54,0,"no product",0,0,0,6371.81102362205
"469",10023935,"41-60",55,"blue-collar","married","secondary",52,"yes","yes","january",2018-01-01,182,35.57,0,"no product",0,0,0,6371.81102362205
"470",10023936,"41-60",44,"self-employed","married","tertiary",292,"yes","yes","february",2018-02-01,162,101.57,0,"no product",0,0,0,6371.81102362205
"471",10023937,"41-60",44,"services","divorced","secondary",424,"yes","no","march",2018-03-01,27,62.06,0,"no product",0,0,0,6371.81102362205
"472",10023938,"31-40",39,"housemaid","single","primary",109,"yes","no","april",2018-04-01,699,97.38,0,"no product",0,0,0,6371.81102362205
"474",10023940,"31-40",39,"blue-collar","married","secondary",983,"yes","no","june",2018-06-01,97,266.81,0,"no product",0,0,0,6371.81102362205
"475",10023941,"31-40",34,"admin.","married","secondary",869,"no","no","july",2018-07-01,1677,219.94,0,"no product",0,0,0,6371.81102362205
"476",10023942,"31-40",40,"blue-collar","married","primary",668,"yes","no","august",2018-08-01,283,231.65,0,"no product",0,0,0,6371.81102362205
"477",10023943,"41-60",50,"management","married","tertiary",964,"yes","yes","september",2018-09-01,323,155.5,0,"no product",0,0,0,6371.81102362205
"478",10023944,"31-40",31,"management","single","secondary",301,"yes","no","october",2018-10-01,82,59.26,0,"no product",0,0,0,6371.81102362205
"479",10023945,"31-40",37,"admin.","single","secondary",140,"yes","no","november",2018-11-01,310,147.98,0,"no product",0,0,0,6371.81102362205
"480",10023946,"31-40",39,"management","single","secondary",1877,"yes","no","december",2018-12-01,185,419.86,0,"no product",0,0,0,6371.81102362205
"481",10023947,"41-60",51,"blue-collar","married","primary",1127,"yes","yes","january",2018-01-01,47,286.01,0,"no product",0,0,0,6371.81102362205
"482",10023948,"41-60",41,"technician","married","secondary",871,"yes","yes","february",2018-02-01,145,235.95,0,"no product",0,0,0,6371.81102362205
"483",10023949,"41-60",41,"technician","married","secondary",767,"yes","yes","march",2018-03-01,204,0,0,"no product",0,0,0,6371.81102362205
"484",10023950,"41-60",43,"blue-collar","married","secondary",0,"no","yes","april",2018-04-01,187,0,0,"no product",0,0,0,6371.81102362205
"485",10023951,"18-30",30,"services","single","secondary",209,"yes","no","may",2018-05-01,30,0,0,"no product",0,0,0,6371.81102362205
"486",10023952,"41-60",54,"management","divorced","primary",0,"no","no","june",2018-06-01,472,0,0,"no product",0,0,0,6371.81102362205
"491",10023957,"31-40",32,"technician","married","secondary",0,"yes","no","november",2018-11-01,176,0,0,"no product",0,0,0,6371.81102362205
"492",10023958,"18-30",29,"blue-collar","married","secondary",1,"yes","no","december",2018-12-01,215,0,0,"no product",0,0,0,6371.81102362205
"493",10023959,"31-40",36,"blue-collar","married","secondary",0,"yes","no","january",2018-01-01,337,0,0,"no product",0,0,0,6371.81102362205
"496",10023962,"31-40",39,"admin.","single","secondary",0,"yes","no","april",2018-04-01,174,0,0,"no product",0,0,0,6371.81102362205
"497",10023963,"31-40",39,"blue-collar","divorced","secondary",42,"yes","no","may",2018-05-01,226,11.98,0,"no product",0,0,0,6371.81102362205
"500",10023966,"31-40",37,"technician","single","secondary",17,"yes","no","august",2018-08-01,164,19.77,0,"no product",0,0,0,6371.81102362205
"503",10023969,"31-40",37,"management","single","tertiary",230,"yes","no","november",2018-11-01,374,13.13,0,"no product",0,0,0,6371.81102362205
"504",10023970,"18-30",29,"blue-collar","married","secondary",9,"yes","no","december",2018-12-01,349,26.64,0,"no product",0,0,0,6371.81102362205
"505",10023971,"41-60",41,"blue-collar","married","secondary",946,"yes","yes","january",2018-01-01,325,319.76,0,"no product",0,0,0,6371.81102362205
"508",10023974,"41-60",48,"blue-collar","single","secondary",44,"yes","no","april",2018-04-01,153,7.42,0,"no product",0,0,0,6371.81102362205
"509",10023975,"41-60",60,"retired","married","secondary",15,"no","yes","may",2018-05-01,80,29.83,0,"no product",0,0,0,6371.81102362205
"510",10023976,"18-30",26,"admin.","single","secondary",712,"yes","no","june",2018-06-01,232,567.87,0,"no product",0,0,0,6371.81102362205
"511",10023977,"41-60",58,"retired","married","secondary",5435,"yes","yes","july",2018-07-01,118,479.2,0,"no product",0,0,0,6371.81102362205
"512",10023978,"31-40",34,"admin.","married","secondary",507,"yes","no","august",2018-08-01,190,127.87,0,"no product",0,0,0,6371.81102362205
"513",10023979,"41-60",55,"unemployed","divorced","secondary",387,"yes","no","september",2018-09-01,918,0,0,"no product",0,0,0,6371.81102362205
"514",10023980,"41-60",41,"blue-collar","married","primary",0,"yes","yes","october",2018-10-01,238,0,0,"no product",0,0,0,6371.81102362205
"515",10023981,"41-60",50,"management","divorced","secondary",1716,"yes","no","november",2018-11-01,82,154.53,0,"no product",0,0,0,6371.81102362205
"516",10023982,"41-60",49,"entrepreneur","married","secondary",167,"yes","yes","december",2018-12-01,198,23.59,0,"no product",0,0,0,6371.81102362205
"518",10023984,"41-60",44,"blue-collar","married","primary",148,"yes","yes","february",2018-02-01,211,14.48,0,"no product",0,0,0,6371.81102362205
"519",10023985,"31-40",31,"technician","married","secondary",17,"yes","no","march",2018-03-01,120,37.85,0,"no product",0,0,0,6371.81102362205
"520",10023986,"31-40",34,"blue-collar","single","tertiary",1011,"yes","no","april",2018-04-01,136,358.68,0,"no product",0,0,0,6371.81102362205
"522",10023988,"41-60",42,"management","married","tertiary",744,"no","yes","june",2018-06-01,157,173.23,0,"no product",0,0,0,6371.81102362205
"523",10023989,"41-60",52,"admin.","married","secondary",484,"yes","yes","july",2018-07-01,128,0,0,"no product",0,0,0,6371.81102362205
"524",10023990,"18-30",29,"management","single","tertiary",0,"yes","no","august",2018-08-01,211,0,0,"no product",0,0,0,6371.81102362205
"525",10023991,"41-60",53,"retired","married","primary",136,"yes","yes","september",2018-09-01,267,123,0,"no product",0,0,0,6371.81102362205
"526",10023992,"41-60",43,"blue-collar","married","secondary",1335,"yes","yes","october",2018-10-01,371,239.83,0,"no product",0,0,0,6371.81102362205
"527",10023993,"31-40",38,"management","married","secondary",517,"yes","no","november",2018-11-01,288,140.62,0,"no product",0,0,0,6371.81102362205
"528",10023994,"41-60",46,"management","married","tertiary",459,"yes","yes","december",2018-12-01,221,144.91,0,"no product",0,0,0,6371.81102362205
"530",10023996,"18-30",30,"admin.","divorced","secondary",83,"yes","no","february",2018-02-01,310,38.38,0,"no product",0,0,0,6371.81102362205
"531",10023997,"41-60",44,"blue-collar","married","primary",213,"no","yes","march",2018-03-01,158,60.03,0,"no product",0,0,0,6371.81102362205
"532",10023998,"31-40",31,"housemaid","married","primary",203,"yes","no","april",2018-04-01,604,93.61,0,"no product",0,0,0,6371.81102362205
"533",10023999,"41-60",42,"services","single","secondary",518,"yes","no","may",2018-05-01,198,409.09,0,"no product",0,0,0,6371.81102362205
"534",10024000,"31-40",40,"management","single","tertiary",3877,"yes","no","june",2018-06-01,145,631.93,0,"no product",0,0,0,6371.81102362205
"535",10024001,"41-60",52,"admin.","married","secondary",1236,"yes","yes","july",2018-07-01,247,279.05,0,"no product",0,0,0,6371.81102362205
"536",10024002,"41-60",45,"blue-collar","divorced","secondary",756,"yes","no","august",2018-08-01,179,99.45,0,"no product",0,0,0,6371.81102362205
"541",10024007,"41-60",46,"blue-collar","married","secondary",71,"yes","yes","january",2018-01-01,416,54.66,1,"mortgage",1,1,1,9764
"542",10024008,"41-60",49,"services","divorced","secondary",505,"yes","no","february",2018-02-01,162,102.37,1,"mortgage",1,1,1,2457
"543",10024009,"41-60",50,"technician","married","primary",249,"yes","yes","march",2018-03-01,129,0,1,"mortgage",1,1,1,3678
"544",10024010,"31-40",34,"admin.","single","secondary",0,"yes","no","april",2018-04-01,150,0,1,"mortgage",1,1,1,9765
"545",10024011,"31-40",40,"unemployed","single","secondary",11,"yes","no","may",2018-05-01,43,24.2,1,"mortgage",1,1,1,7543
"546",10024012,"31-40",36,"admin.","married","secondary",639,"yes","no","june",2018-06-01,191,81.26,1,"unsecured ",1,1,1,6689
"548",10024014,"41-60",45,"blue-collar","married","secondary",82,"yes","yes","august",2018-08-01,250,27.04,1,"unsecured ",1,1,1,6895
"549",10024015,"31-40",36,"self-employed","married","tertiary",107,"yes","yes","september",2018-09-01,146,64.94,1,"unsecured ",1,1,1,7632
"550",10024016,"41-60",56,"services","married","secondary",473,"yes","yes","october",2018-10-01,416,121.09,1,"unsecured ",1,1,1,9753
"551",10024017,"41-60",42,"services","divorced","secondary",372,"yes","no","november",2018-11-01,121,37.76,1,"unsecured ",1,1,1,2257
"552",10024018,"18-30",30,"admin.","married","secondary",46,"yes","no","december",2018-12-01,114,11.42,1,"unsecured ",1,1,1,6895
"553",10024019,"18-30",30,"student","single","tertiary",34,"yes","no","january",2018-01-01,289,51.47,1,"unsecured ",1,1,1,6895
